qual_analysis_Id,questionnaire,attend_sciexpo_this_year,attend_sciexpo_last_year,response,rep_valence,code1_general,code2_general,code3_general,code4_general,notes
4930,feelings_change_after_sciexpo,Yes,No,"I felt seen by the scientific community especially when asking question, the people there were more interested in me and the professional career I want to persue.",2,0,0,0,0,could put NA for valence bc not clearly about representation
4873,feelings_change_after_sciexpo,Yes,No,"I did see some people there that were of color, and lots of them were women, however none of them were black.",1,1a,1b,0,0,
4872,feelings_change_after_sciexpo,No,No,Did not attend the expo,,,,,,
4841,feelings_change_after_sciexpo,Yes,Yes,"It didn't I don't judge based off of if I see myself as important, I think that the science is more important than what I see as myself.",2,0,0,0,0,
4796,feelings_change_after_sciexpo,No,No,did not attend the expo,,,,,,
4764,feelings_change_after_sciexpo,Yes,No,I feel represented in the science community by women.,3,1b,2,0,0,
4689,feelings_change_after_sciexpo,No,No,I am not interested in science.,,,,,,
4653,feelings_change_after_sciexpo,Yes,Yes,I think seeing myself represented throughout the expo strengthened my passion for science. The career path i've  been considering has had me worrying a bit about whether it is really something I'd be able to do but seeing each presenter talk about the specific science they're interested in with such passion re-sparked my passion.,2,2,5,11,0,"Code3 could also be 9, there wasn't one that exactly fit"
4624,feelings_change_after_sciexpo,Yes,Yes,:),0,0,0,0,0,
4583,feelings_change_after_sciexpo,No,Yes,Did not attend the expo,,,,,,
4506,feelings_change_after_sciexpo,Yes,Yes,I talked to a guy (his stand was about fly brains) who was talking to us about how he didn't think he was smart enough for science related medical major so he decided to go into nursing before then going into science. This resonated with me because he was able to figure things out and that makes me hopeful,0,3,11,0,0,"Maybe could construe as being about representation. For code1, doesn't fit super clearly but they seemed impacted by the presenter's story"
4481,feelings_change_after_sciexpo,Yes,No,,0,0,0,0,0,
4308,feelings_change_after_sciexpo,Yes,No,I feel like there were some projects that actually worked in investigating things that matter to us like teens and sleep and even though I will not be study any science related career that helped me see science from a different perspective as something useful,0,10,4,0,0,
4199,feelings_change_after_sciexpo,Yes,Yes,it didnâ€™t really change my feelings,0,0,0,0,0,
4193,feelings_change_after_sciexpo,Yes,No,There were a lot of diversity in people so I felt represented but a typical/stereotypical scientist doesn't make me feel represented,3,1,0,0,0,
