survey_id,qual_analysis_Id,count
116,4653,1
117,2973,1
118,2930,1
139,3205,1
149,3006,1
155,1327,1
157,4930,1
162,3867,1
165,4523,1
167,4152,1
170,3974,1
173,3774,1
179,1624,1
180,4506,1
191,1471,1
196,4199,1
198,1273,1
204,1433,1
205,3003,1
207,1858,1
210,2370,1
212,4013,1
223,3026,1
232,2854,1
233,4045,1
253,3716,1
255,2898,1
262,1653,1
264,2352,1
269,4796,1
270,1303,1
273,2923,1
286,4189,1
292,4875,1
293,4308,1
294,2557,1
297,1882,1
302,2400,1
303,1142,1
315,4193,1
320,3143,1
324,3616,1
327,4872,1
331,3186,1
336,3518,1
337,3972,1
340,3654,1
341,1047,1
342,3915,1
348,3105,1
349,2537,1
361,1550,1
369,4155,1
370,1033,1
371,3868,1
378,3463,1
382,4319,1
387,3952,1
395,2927,1
396,2073,1
398,3562,1
402,1076,1
404,1785,1
406,2685,1
415,3457,1
421,4145,1
422,4624,1
425,1358,1
443,3008,1
447,2656,1
450,3770,1
464,1942,1
470,3252,1
481,3079,1
484,2589,1
493,3270,1
498,1342,1
502,1912,1
510,1426,1
512,2390,1
517,3459,1
521,4841,1
522,4689,1
525,2424,1
527,4583,1
534,2883,1
535,1208,1
565,2937,1
581,3136,1
588,1863,1
591,3822,1
592,3337,1
607,2506,1
609,1818,1
612,3628,1
614,4481,1
625,1591,1
627,2799,1
638,4764,1
640,3179,1
651,1586,1
656,3978,1
669,4873,1
