"","survey_id","prepost","questionnaire","item_nbr","item_id","response","subscale","subscale_item_nbr","timestamp","under_represented","attend_sciexpo_this_year","attend_sciexpo_last_year","current_grade","ap_science_enrolled","score"
"1",116,"pre","likely_become_scientist",NA,NA,"Somewhat likely","likely_become_scientist",NA,2025-10-03 10:17:43.192,"HURM","Yes","Yes","12th Grade (Senior)","No",4
"2",116,"pre","represented_in_science",NA,NA,"A little bit represented","represented_in_science",NA,2025-10-03 10:17:43.192,"HURM","Yes","Yes","12th Grade (Senior)","No",2
"3",116,"pre","ssi",1,"p1","Strongly agree","Peformance","1",2025-10-03 10:17:43.192,"HURM","Yes","Yes","12th Grade (Senior)","No",5
"4",116,"pre","ssi",2,"c1","Somewhat agree","Competence","1",2025-10-03 10:17:43.192,"HURM","Yes","Yes","12th Grade (Senior)","No",4
"5",116,"pre","ssi",3,"r1","Somewhat agree","Recognition","1",2025-10-03 10:17:43.192,"HURM","Yes","Yes","12th Grade (Senior)","No",4
"6",116,"pre","ssi",4,"i1","Somewhat agree","Interest","1",2025-10-03 10:17:43.192,"HURM","Yes","Yes","12th Grade (Senior)","No",4
"7",116,"pre","ssi",5,"i2","Somewhat agree","Interest","2",2025-10-03 10:17:43.192,"HURM","Yes","Yes","12th Grade (Senior)","No",4
"8",116,"pre","ssi",6,"i3","Strongly agree","Interest","3",2025-10-03 10:17:43.192,"HURM","Yes","Yes","12th Grade (Senior)","No",5
"9",116,"pre","ssi",7,"p3","Strongly agree","Peformance","3",2025-10-03 10:17:43.192,"HURM","Yes","Yes","12th Grade (Senior)","No",5
"10",116,"pre","ssi",8,"r2","Somewhat agree","Recognition","2",2025-10-03 10:17:43.192,"HURM","Yes","Yes","12th Grade (Senior)","No",4
"11",116,"pre","ssi",9,"c3","Somewhat agree","Competence","3",2025-10-03 10:17:43.192,"HURM","Yes","Yes","12th Grade (Senior)","No",4
"12",116,"pre","ssi",10,"p4","Neither agree nor disagree","Peformance","4",2025-10-03 10:17:43.192,"HURM","Yes","Yes","12th Grade (Senior)","No",3
"13",116,"pre","ssi",11,"r3","Neither agree nor disagree","Recognition","3",2025-10-03 10:17:43.192,"HURM","Yes","Yes","12th Grade (Senior)","No",3
"14",116,"pre","ssi",12,"i5","Strongly agree","Interest","5",2025-10-03 10:17:43.192,"HURM","Yes","Yes","12th Grade (Senior)","No",5
"15",116,"pre","ssi",13,"r4","Strongly agree","Recognition","4",2025-10-03 10:17:43.192,"HURM","Yes","Yes","12th Grade (Senior)","No",5
"16",116,"pre","ssi",14,"i6","Strongly agree","Interest","6",2025-10-03 10:17:43.192,"HURM","Yes","Yes","12th Grade (Senior)","No",5
"17",116,"pre","ssi",15,"c5","Strongly agree","Competence","5",2025-10-03 10:17:43.192,"HURM","Yes","Yes","12th Grade (Senior)","No",5
"18",116,"pre","ssi",16,"c6","Strongly agree","Competence","6",2025-10-03 10:17:43.192,"HURM","Yes","Yes","12th Grade (Senior)","No",5
"19",116,"post","feelings_change_after_sciexpo",NA,NA,"I think seeing myself represented throughout the expo strengthened my passion for science. The career path i've  been considering has had me worrying a bit about whether it is really something I'd be able to do but seeing each presenter talk about the specific science they're interested in with such passion re-sparked my passion.","feelings_change_after_sciexpo",NA,2025-10-28 10:07:58.594,"HURM","Yes","Yes","12th Grade (Senior)","No",NA
"20",116,"post","likely_become_scientist",NA,NA,"Somewhat likely","likely_become_scientist",NA,2025-10-28 10:07:58.594,"HURM","Yes","Yes","12th Grade (Senior)","No",4
"21",116,"post","represented_in_science",NA,NA,"Somewhat represented","represented_in_science",NA,2025-10-28 10:07:58.594,"HURM","Yes","Yes","12th Grade (Senior)","No",3
"22",116,"post","sciexpo_most_valuable_aspects",NA,NA,"I really enjoyed that each presentation was personal to each person there and they all didn't seem like they just had to be there but they truly were passionate and wanted to share it with us students.","sciexpo_most_valuable_aspects",NA,2025-10-28 10:07:58.594,"HURM","Yes","Yes","12th Grade (Senior)","No",NA
"23",116,"post","sciexpo_other_comments",NA,NA,NA,"sciexpo_other_comments",NA,2025-10-28 10:07:58.594,"HURM","Yes","Yes","12th Grade (Senior)","No",NA
"24",116,"post","sciexpo_what_to_improve",NA,NA,"The only thing I would improve is the amount of things there were, there wasn't much so I revisited lots of the tables.","sciexpo_what_to_improve",NA,2025-10-28 10:07:58.594,"HURM","Yes","Yes","12th Grade (Senior)","No",NA
"25",116,"post","ssi",1,"p1","Strongly agree","Peformance","1",2025-10-28 10:07:58.594,"HURM","Yes","Yes","12th Grade (Senior)","No",5
"26",116,"post","ssi",2,"c1","Somewhat agree","Competence","1",2025-10-28 10:07:58.594,"HURM","Yes","Yes","12th Grade (Senior)","No",4
"27",116,"post","ssi",3,"r1","Somewhat agree","Recognition","1",2025-10-28 10:07:58.594,"HURM","Yes","Yes","12th Grade (Senior)","No",4
"28",116,"post","ssi",4,"i1","Somewhat agree","Interest","1",2025-10-28 10:07:58.594,"HURM","Yes","Yes","12th Grade (Senior)","No",4
"29",116,"post","ssi",5,"i2","Somewhat agree","Interest","2",2025-10-28 10:07:58.594,"HURM","Yes","Yes","12th Grade (Senior)","No",4
"30",116,"post","ssi",6,"i3","Strongly agree","Interest","3",2025-10-28 10:07:58.594,"HURM","Yes","Yes","12th Grade (Senior)","No",5
"31",116,"post","ssi",7,"p3","Strongly agree","Peformance","3",2025-10-28 10:07:58.594,"HURM","Yes","Yes","12th Grade (Senior)","No",5
"32",116,"post","ssi",8,"r2","Somewhat agree","Recognition","2",2025-10-28 10:07:58.594,"HURM","Yes","Yes","12th Grade (Senior)","No",4
"33",116,"post","ssi",9,"c3","Somewhat agree","Competence","3",2025-10-28 10:07:58.594,"HURM","Yes","Yes","12th Grade (Senior)","No",4
"34",116,"post","ssi",10,"p4","Somewhat disagree","Peformance","4",2025-10-28 10:07:58.594,"HURM","Yes","Yes","12th Grade (Senior)","No",2
"35",116,"post","ssi",11,"r3","Somewhat agree","Recognition","3",2025-10-28 10:07:58.594,"HURM","Yes","Yes","12th Grade (Senior)","No",4
"36",116,"post","ssi",12,"i5","Strongly agree","Interest","5",2025-10-28 10:07:58.594,"HURM","Yes","Yes","12th Grade (Senior)","No",5
"37",116,"post","ssi",13,"r4","Strongly agree","Recognition","4",2025-10-28 10:07:58.594,"HURM","Yes","Yes","12th Grade (Senior)","No",5
"38",116,"post","ssi",14,"i6","Strongly agree","Interest","6",2025-10-28 10:07:58.594,"HURM","Yes","Yes","12th Grade (Senior)","No",5
"39",116,"post","ssi",15,"c5","Somewhat agree","Competence","5",2025-10-28 10:07:58.594,"HURM","Yes","Yes","12th Grade (Senior)","No",4
"40",116,"post","ssi",16,"c6","Somewhat agree","Competence","6",2025-10-28 10:07:58.594,"HURM","Yes","Yes","12th Grade (Senior)","No",4
"41",117,"pre","likely_become_scientist",NA,NA,"Extremely likely","likely_become_scientist",NA,2025-10-03 10:14:06.59,"Non-
HURM",NA,NA,"12th Grade (Senior)","Yes",5
"42",117,"pre","represented_in_science",NA,NA,"Somewhat represented","represented_in_science",NA,2025-10-03 10:14:06.59,"Non-
HURM",NA,NA,"12th Grade (Senior)","Yes",3
"43",117,"pre","ssi",1,"p1","Strongly agree","Peformance","1",2025-10-03 10:14:06.59,"Non-
HURM",NA,NA,"12th Grade (Senior)","Yes",5
"44",117,"pre","ssi",2,"c1","Somewhat agree","Competence","1",2025-10-03 10:14:06.59,"Non-
HURM",NA,NA,"12th Grade (Senior)","Yes",4
"45",117,"pre","ssi",3,"r1","Neither agree nor disagree","Recognition","1",2025-10-03 10:14:06.59,"Non-
HURM",NA,NA,"12th Grade (Senior)","Yes",3
"46",117,"pre","ssi",4,"i1","Somewhat agree","Interest","1",2025-10-03 10:14:06.59,"Non-
HURM",NA,NA,"12th Grade (Senior)","Yes",4
"47",117,"pre","ssi",5,"i2","Neither agree nor disagree","Interest","2",2025-10-03 10:14:06.59,"Non-
HURM",NA,NA,"12th Grade (Senior)","Yes",3
"48",117,"pre","ssi",6,"i3","Neither agree nor disagree","Interest","3",2025-10-03 10:14:06.59,"Non-
HURM",NA,NA,"12th Grade (Senior)","Yes",3
"49",117,"pre","ssi",7,"p3","Somewhat agree","Peformance","3",2025-10-03 10:14:06.59,"Non-
HURM",NA,NA,"12th Grade (Senior)","Yes",4
"50",117,"pre","ssi",8,"r2","Neither agree nor disagree","Recognition","2",2025-10-03 10:14:06.59,"Non-
HURM",NA,NA,"12th Grade (Senior)","Yes",3
"51",117,"pre","ssi",9,"c3","Somewhat agree","Competence","3",2025-10-03 10:14:06.59,"Non-
HURM",NA,NA,"12th Grade (Senior)","Yes",4
"52",117,"pre","ssi",10,"p4","Somewhat agree","Peformance","4",2025-10-03 10:14:06.59,"Non-
HURM",NA,NA,"12th Grade (Senior)","Yes",4
"53",117,"pre","ssi",11,"r3","Neither agree nor disagree","Recognition","3",2025-10-03 10:14:06.59,"Non-
HURM",NA,NA,"12th Grade (Senior)","Yes",3
"54",117,"pre","ssi",12,"i5","Somewhat agree","Interest","5",2025-10-03 10:14:06.59,"Non-
HURM",NA,NA,"12th Grade (Senior)","Yes",4
"55",117,"pre","ssi",13,"r4","Neither agree nor disagree","Recognition","4",2025-10-03 10:14:06.59,"Non-
HURM",NA,NA,"12th Grade (Senior)","Yes",3
"56",117,"pre","ssi",14,"i6","Somewhat disagree","Interest","6",2025-10-03 10:14:06.59,"Non-
HURM",NA,NA,"12th Grade (Senior)","Yes",2
"57",117,"pre","ssi",15,"c5","Somewhat agree","Competence","5",2025-10-03 10:14:06.59,"Non-
HURM",NA,NA,"12th Grade (Senior)","Yes",4
"58",117,"pre","ssi",16,"c6","Strongly agree","Competence","6",2025-10-03 10:14:06.59,"Non-
HURM",NA,NA,"12th Grade (Senior)","Yes",5
"59",118,"pre","likely_become_scientist",NA,NA,"Somewhat likely","likely_become_scientist",NA,2025-10-03 10:15:04.634,"Non-
HURM","Yes","No","11th Grade (Junior)","Yes",4
"60",118,"pre","represented_in_science",NA,NA,"Somewhat represented","represented_in_science",NA,2025-10-03 10:15:04.634,"Non-
HURM","Yes","No","11th Grade (Junior)","Yes",3
"61",118,"pre","ssi",1,"p1","Somewhat agree","Peformance","1",2025-10-03 10:15:04.634,"Non-
HURM","Yes","No","11th Grade (Junior)","Yes",4
"62",118,"pre","ssi",2,"c1","Somewhat agree","Competence","1",2025-10-03 10:15:04.634,"Non-
HURM","Yes","No","11th Grade (Junior)","Yes",4
"63",118,"pre","ssi",3,"r1","Neither agree nor disagree","Recognition","1",2025-10-03 10:15:04.634,"Non-
HURM","Yes","No","11th Grade (Junior)","Yes",3
"64",118,"pre","ssi",4,"i1","Somewhat agree","Interest","1",2025-10-03 10:15:04.634,"Non-
HURM","Yes","No","11th Grade (Junior)","Yes",4
"65",118,"pre","ssi",5,"i2","Somewhat agree","Interest","2",2025-10-03 10:15:04.634,"Non-
HURM","Yes","No","11th Grade (Junior)","Yes",4
"66",118,"pre","ssi",6,"i3","Strongly agree","Interest","3",2025-10-03 10:15:04.634,"Non-
HURM","Yes","No","11th Grade (Junior)","Yes",5
"67",118,"pre","ssi",7,"p3","Somewhat agree","Peformance","3",2025-10-03 10:15:04.634,"Non-
HURM","Yes","No","11th Grade (Junior)","Yes",4
