qual_analysis_Id,questionnaire,response,attend_sciexpo_this_year,attend_sciexpo_last_year
1047,feelings_change_after_sciexpo,Did not,No,No
1047,sciexpo_most_valuable_aspects,No,No,No
1047,sciexpo_other_comments,No,No,No
1047,sciexpo_what_to_improve,No,No,No
1076,feelings_change_after_sciexpo,"It makes me feel like there could be an opportunity for me in the science community, whether it be a career or an interest",Yes,No
1076,sciexpo_most_valuable_aspects,All of it,Yes,No
1076,sciexpo_other_comments,NA,Yes,No
1076,sciexpo_what_to_improve,NA,Yes,No
1142,feelings_change_after_sciexpo,after attending this years science expo i saw and learned a lot of stuff from sleep studies to measure brain waves to fun stuff like how science combines different chemicals making slime. It was a really fun experience and i got to see cool things like animal brains and test tools that they use which helped me imagine myself in that field or study.,Yes,Yes
1142,sciexpo_most_valuable_aspects,"i liked the fact that each of the fields how their own special things that were not the same and they brought things we could look, see, and touch to spark our curiosity.",Yes,Yes
1142,sciexpo_other_comments,none.,Yes,Yes
1142,sciexpo_what_to_improve,honestly nothing it was really fun this year.,Yes,Yes
1208,feelings_change_after_sciexpo,"Im very invested in technical and scienific explanations of everyday life and how science really describes the processes in nature and ourselves but Im more focused on physical health and aerobic processes like physical training and kinestheology, so I wouldnt say im particularly represented since what I was looking for was very specific",Yes,No
1208,sciexpo_most_valuable_aspects,The information on UW programs,Yes,No
1208,sciexpo_other_comments,Nope,Yes,No
1208,sciexpo_what_to_improve,"Not much, it was very nice :]",Yes,No
1327,feelings_change_after_sciexpo,yes,Yes,No
1327,sciexpo_most_valuable_aspects,how they give us actual resources on how to join or apply,Yes,No
1327,sciexpo_other_comments,no,Yes,No
1327,sciexpo_what_to_improve,more candy,Yes,No
1342,feelings_change_after_sciexpo,I don’t see my self being represented with science,Yes,Yes
1342,sciexpo_most_valuable_aspects,NA,Yes,Yes
1342,sciexpo_other_comments,NA,Yes,Yes
1342,sciexpo_what_to_improve,NA,Yes,Yes
1426,feelings_change_after_sciexpo,I saw myself being represented among the science community and it showed me how the possibility or chance for me,Yes,No
1426,sciexpo_most_valuable_aspects,Getting to talk to people in the science field,Yes,No
1426,sciexpo_other_comments,NA,Yes,No
1426,sciexpo_what_to_improve,I would  change the location,Yes,No
1433,feelings_change_after_sciexpo,I feel way more invested in science careers in the future and I have learned more about different options.,Yes,No
1433,sciexpo_most_valuable_aspects,The demonstrations and vet/medical school information.,Yes,No
1433,sciexpo_other_comments,NA,Yes,No
1433,sciexpo_what_to_improve,Having more hands on demonstrations.,Yes,No
1471,feelings_change_after_sciexpo,Did not attend expo.,No,Yes
1471,sciexpo_most_valuable_aspects,NA,No,Yes
1471,sciexpo_other_comments,NA,No,Yes
1471,sciexpo_what_to_improve,NA,No,Yes
1550,feelings_change_after_sciexpo,i saw a little bit of representation and it didn’t affect any of my perception on my or place in science.,Yes,Yes
1550,sciexpo_most_valuable_aspects,i like how passionate the people were at their stations explaining to us what they do,Yes,Yes
1550,sciexpo_other_comments,no,Yes,Yes
1550,sciexpo_what_to_improve,probably more structure,Yes,Yes
1586,feelings_change_after_sciexpo,I think science is interesting.,Yes,No
1586,sciexpo_most_valuable_aspects,The throat research.,Yes,No
1586,sciexpo_other_comments,No,Yes,No
1586,sciexpo_what_to_improve,None,Yes,No
1591,feelings_change_after_sciexpo,It hasn't influenced my perception or feelings about my own place in science.,Yes,No
1591,sciexpo_most_valuable_aspects,I found the amount of science subjects to be the most valuable.,Yes,No
1591,sciexpo_other_comments,There isn't any.,Yes,No
1591,sciexpo_what_to_improve,There isn't anything I would improve.,Yes,No
1624,feelings_change_after_sciexpo,"It did not change any opinion of mine, there woman there which was great.",Yes,Yes
1624,sciexpo_most_valuable_aspects,I just thought it was interesting and fun to see things.,Yes,Yes
1624,sciexpo_other_comments,Nope!,Yes,Yes
1624,sciexpo_what_to_improve,Not much! Maybe more stations.,Yes,Yes
1653,feelings_change_after_sciexpo,Similar to how I felt before.,Yes,Yes
1653,sciexpo_most_valuable_aspects,I just enjoyed being able to talk to different people.,Yes,Yes
1653,sciexpo_other_comments,NA,Yes,Yes
1653,sciexpo_what_to_improve,NA,Yes,Yes
1818,feelings_change_after_sciexpo,"There were many women hostesses but not many of them were black, regardless of how many there were, though, I'd still have the same influence of pursuing science based on there being little and a lot of representation.",Yes,Yes
1818,sciexpo_most_valuable_aspects,Getting to talk to all of the different stands of science and careers.,Yes,Yes
1818,sciexpo_other_comments,NA,Yes,Yes
1818,sciexpo_what_to_improve,More racial diversity.,Yes,Yes
1863,feelings_change_after_sciexpo,"I didn't see representation, nor do I know how to gauge it if it was there.",Yes,Yes
1863,sciexpo_most_valuable_aspects,The inclusivity,Yes,Yes
1863,sciexpo_other_comments,NA,Yes,Yes
1863,sciexpo_what_to_improve,NA,Yes,Yes
2073,feelings_change_after_sciexpo,It made me realize how many other fields of research use science,Yes,Yes
2073,sciexpo_most_valuable_aspects,Getting to talk to the students at uw,Yes,Yes
2073,sciexpo_other_comments,No,Yes,Yes
2073,sciexpo_what_to_improve,Maybe a smaller room or having the space organized into types of science,Yes,Yes
2352,feelings_change_after_sciexpo,Was not able to attend the expo. .,No,No
2352,sciexpo_most_valuable_aspects,Was not able to attend the expo.,No,No
2352,sciexpo_other_comments,No thank you.,No,No
2352,sciexpo_what_to_improve,Was not able to attend the expo.,No,No
2370,feelings_change_after_sciexpo,.,Yes,Yes
2370,sciexpo_most_valuable_aspects,NA,Yes,Yes
2370,sciexpo_other_comments,NA,Yes,Yes
2370,sciexpo_what_to_improve,NA,Yes,Yes
2390,feelings_change_after_sciexpo,"After attending the science expo, i saw myself represented in a few of the fields. It didn't influence my perception of my own place in science because I already knew there are some people like me in scientific fields.",Yes,Yes
2390,sciexpo_most_valuable_aspects,"i found the ability to talk with fun people and learn about what they do to be pretty fun. I liked the interactive stuff a lot, especially the sync your heart thing where we got to play with balls.",Yes,Yes
2390,sciexpo_other_comments,"The candies are great too, makes it more encouraging to learn about stuff.",Yes,Yes
2390,sciexpo_what_to_improve,"I would improve the way we leave, I never notice when my class leaves and end up being late",Yes,Yes
2424,feelings_change_after_sciexpo,"I didnt see myself as a science person, but very interesting",Yes,No
2424,sciexpo_most_valuable_aspects,im not sure,Yes,No
2424,sciexpo_other_comments,no,Yes,No
2424,sciexpo_what_to_improve,more things to see,Yes,No
2506,feelings_change_after_sciexpo,Did not attend the expo,No,No
2506,sciexpo_most_valuable_aspects,NA,No,No
2506,sciexpo_other_comments,NA,No,No
2506,sciexpo_what_to_improve,NA,No,No
2537,feelings_change_after_sciexpo,I saw a more variety of topics being discussed.,Yes,Yes
2537,sciexpo_most_valuable_aspects,The variety in topics.,Yes,Yes
2537,sciexpo_other_comments,NA,Yes,Yes
2537,sciexpo_what_to_improve,NA,Yes,Yes
2557,feelings_change_after_sciexpo,It has not impacted my view of my own place in science.,Yes,No
2557,sciexpo_most_valuable_aspects,I found the interactive activities at the Science Expo the most valuable.,Yes,No
2557,sciexpo_other_comments,NA,Yes,No
2557,sciexpo_what_to_improve,I would put all of the tables closer together to make the Expo more inviting.,Yes,No
2589,feelings_change_after_sciexpo,I saw women and women of color passionate and knowledgeable about their field of study. It's influenced me because I know that there are a lot of possibilities out there for me including many science fields.,Yes,No
2589,sciexpo_most_valuable_aspects,NA,Yes,No
2589,sciexpo_other_comments,NA,Yes,No
2589,sciexpo_what_to_improve,NA,Yes,No
2656,feelings_change_after_sciexpo,It didn't really influence my feelings.,Yes,No
2656,sciexpo_most_valuable_aspects,Tables with interactive activities made me the most interested in their subjects.,Yes,No
2656,sciexpo_other_comments,NA,Yes,No
2656,sciexpo_what_to_improve,I would like to see more tables.,Yes,No
2685,feelings_change_after_sciexpo,I see people like me in the science field.,Yes,No
2685,sciexpo_most_valuable_aspects,I like talking to people about their careers in science and how they got to the place they are in.,Yes,No
2685,sciexpo_other_comments,NA,Yes,No
2685,sciexpo_what_to_improve,NA,Yes,No
2854,feelings_change_after_sciexpo,Did Not influence my feelings.,Yes,Yes
2854,sciexpo_most_valuable_aspects,learning about all the stands.,Yes,Yes
2854,sciexpo_other_comments,NA,Yes,Yes
2854,sciexpo_what_to_improve,more interactive science stands.,Yes,Yes
2883,feelings_change_after_sciexpo,did not attend,No,No
2883,sciexpo_most_valuable_aspects,NA,No,No
2883,sciexpo_other_comments,NA,No,No
2883,sciexpo_what_to_improve,NA,No,No
