"","survey_id","under_represented","attend_sciexpo_this_year","attend_sciexpo_last_year","session_completed","Competence_pre","Competence_post","Interest_pre","Interest_post","Peformance_pre","Peformance_post","Recognition_pre","Recognition_post","feelings_change_after_sciexpo_post","likely_become_scientist_pre","likely_become_scientist_post","represented_in_science_pre","represented_in_science_post","sciexpo_most_valuable_aspects_post","sciexpo_other_comments_post","sciexpo_what_to_improve_post"
"1",116,"HURM","Yes","Yes","pre & post",4.5,4,4.6,4.6,4.33333333333333,4,4,4.25,NA,4,4,2,3,NA,NA,NA
"2",118,"Non-
HURM","Yes","No","pre & post",4,3.5,4,3.8,4,3.66666666666667,3,2.75,NA,4,4,3,4,NA,NA,NA
"3",139,"Non-
HURM","No","Yes","pre & post",4.75,4.75,5,5,4.66666666666667,4.66666666666667,4.75,4.5,NA,5,5,5,5,NA,NA,NA
"4",149,"Non-
HURM","Yes","No","pre & post",5,5,4.6,4.8,5,5,5,5,NA,4,4,5,5,NA,NA,NA
"5",155,"HURM","Yes","No","pre & post",3.25,4,4.4,4,2.66666666666667,3.33333333333333,2,2.5,NA,2,4,5,5,NA,NA,NA
"6",157,"Non-
HURM","Yes","No","pre & post",4.5,5,4.8,5,4.66666666666667,4.66666666666667,4.5,5,NA,4,5,4,5,NA,NA,NA
"7",162,"HURM","Yes","No","pre & post",2.5,1.75,3,3,3.33333333333333,4,2,2.25,NA,4,3,4,4,NA,NA,NA
"8",173,"HURM","Yes","Yes","pre & post",1.75,3.25,3,3.2,2,3,1,1,NA,1,1,2,1,NA,NA,NA
"9",179,"HURM","Yes","Yes","pre & post",4.5,5,4.4,4.6,4.33333333333333,4.66666666666667,4.25,4.5,NA,5,5,4,4,NA,NA,NA
"10",180,"Non-
HURM","Yes","Yes","pre & post",4.25,4.5,4.8,4.4,4.33333333333333,5,2.75,3.25,NA,1,3,4,4,NA,NA,NA
"11",191,"HURM","No","Yes","pre & post",3.25,3.75,5,4.8,3.33333333333333,3.66666666666667,3.75,3.5,NA,4,3,3,2,NA,NA,NA
"12",196,"HURM","Yes","Yes","pre & post",1,2,1.2,2.2,1.33333333333333,2.33333333333333,1,1.25,NA,1,1,1,2,NA,NA,NA
"13",204,"Non-
HURM","Yes","No","pre & post",4.5,4.75,4.4,4.8,5,4.33333333333333,3.5,4.5,NA,4,4,3,5,NA,NA,NA
"14",205,"HURM","Yes","Yes","pre & post",4.5,4.25,4,4.2,4.66666666666667,4.33333333333333,3,4,NA,5,5,1,1,NA,NA,NA
"15",210,"Non-
HURM","Yes","Yes","pre & post",3,2.75,3.4,3.6,3,3,2.25,2,NA,3,1,1,3,NA,NA,NA
"16",212,"HURM","Yes","Yes","pre & post",3.75,4,3.8,3.8,4.33333333333333,4.66666666666667,2.25,2,NA,5,5,4,4,NA,NA,NA
"17",223,"HURM","Yes","Yes","pre & post",3.75,3.75,4.4,4,4,4,3.75,3.75,NA,4,4,4,4,NA,NA,NA
"18",232,"HURM","Yes","Yes","pre & post",4.25,4,3.4,3.6,3.66666666666667,3.33333333333333,2.5,3,NA,2,2,2,2,NA,NA,NA
"19",233,"HURM","Yes","Yes","pre & post",2.75,3.25,4.2,4.2,2.33333333333333,3.33333333333333,2.75,2.5,NA,4,4,3,3,NA,NA,NA
"20",253,"Non-
HURM","Yes","Yes","pre & post",3.25,3.5,4,4.2,3.66666666666667,4.66666666666667,3.75,3.75,NA,1,2,2,3,NA,NA,NA
"21",255,"HURM","Yes","Yes","pre & post",3.75,4.25,3.4,3.2,4.33333333333333,3.66666666666667,2,1.25,NA,1,2,2,4,NA,NA,NA
"22",262,"HURM","Yes","Yes","pre & post",3.75,3.5,3.2,3.2,3.66666666666667,3.66666666666667,2.5,2.25,NA,3,4,2,3,NA,NA,NA
"23",264,"HURM","No","No","pre & post",3.75,4.5,4.2,5,3.66666666666667,4,3,3.25,NA,4,4,2,3,NA,NA,NA
"24",269,"HURM","No","No","pre & post",4,3.75,4,3.4,2,3,2.75,3,NA,4,3,2,1,NA,NA,NA
"25",293,"Non-
HURM","Yes","No","pre & post",4,3.5,3,2.8,3.66666666666667,4.66666666666667,1.25,1.25,NA,3,4,4,5,NA,NA,NA
"26",294,"Non-
HURM","Yes","No","pre & post",3.5,4,3.8,3.6,4.33333333333333,4,2,2.5,NA,3,3,4,5,NA,NA,NA
"27",303,"HURM","Yes","Yes","pre & post",4.25,3.5,4.4,4.2,4,3.66666666666667,3,3,NA,4,4,3,3,NA,NA,NA
"28",320,"HURM","Yes","Yes","pre & post",1,4,1,3.8,1,3.33333333333333,1,2.75,NA,4,4,3,3,NA,NA,NA
"29",327,"HURM","No","No","pre & post",4,4,4,3.8,4,4,3.75,3,NA,3,2,3,2,NA,NA,NA
"30",331,"Non-
HURM","Yes","Yes","pre & post",4,4,3.6,2.8,4,4,2,2.5,NA,2,2,4,4,NA,NA,NA
"31",336,"Non-
HURM","Yes","Yes","pre & post",3.75,3.75,4.6,5,3.33333333333333,4,3.5,3.5,NA,3,2,3,4,NA,NA,NA
"32",341,"HURM","No","No","pre & post",3.5,2.5,2.8,2,4,2.66666666666667,1.5,2.5,NA,2,2,1,2,NA,NA,NA
"33",342,"HURM","Yes","No","pre & post",3.5,4.25,3.8,3.6,3,3.66666666666667,1.5,2.5,NA,1,5,3,3,NA,NA,NA
"34",348,"HURM","Yes","Yes","pre & post",4.25,3.75,3.8,4,3.66666666666667,3.33333333333333,3,3.5,NA,4,4,2,2,NA,NA,NA
"35",349,"HURM","Yes","Yes","pre & post",3.75,4,4.4,4.2,4,4,4,4,NA,4,4,3,2,NA,NA,NA
"36",361,"HURM","Yes","Yes","pre & post",3.5,3.5,3,3.8,4,4.33333333333333,2.25,2,NA,2,3,2,2,NA,NA,NA
"37",369,"HURM","Yes","No","pre & post",3.75,4,3.4,4.4,4,4,3.25,4,NA,3,4,2,3,NA,NA,NA
"38",395,"HURM","No","No","pre & post",4.5,4.25,4.6,4.8,4.66666666666667,4.33333333333333,4,3.75,NA,4,3,2,2,NA,NA,NA
"39",396,"HURM","Yes","Yes","pre & post",3.25,3.75,4,4,3.33333333333333,4,3,2.75,NA,1,4,2,3,NA,NA,NA
"40",398,"Non-
HURM","Yes","No","pre & post",4.25,4.5,4.4,4,4.33333333333333,4.66666666666667,3.25,3.5,NA,5,5,5,5,NA,NA,NA
"41",402,"HURM","Yes","No","pre & post",4,3.75,3.8,4,4,3.66666666666667,1.75,1.5,NA,4,3,2,4,NA,NA,NA
"42",406,"Non-
HURM","Yes","No","pre & post",4.5,4.25,4.4,4.2,4.66666666666667,4.66666666666667,3.5,4,NA,5,5,5,5,NA,NA,NA
"43",421,"Non-
HURM","Yes","Yes","pre & post",3,2.75,3.2,3,3.33333333333333,3,2,2.25,NA,3,5,3,5,NA,NA,NA
"44",422,"Non-
HURM","Yes","Yes","pre & post",3.5,3,4,3,3.66666666666667,3,3.5,3,NA,3,3,4,3,NA,NA,NA
"45",447,"HURM","Yes","No","pre & post",3.75,3.75,3.8,3.8,4,4,2.75,2.25,NA,3,4,2,2,NA,NA,NA
"46",450,"Non-
HURM","Yes","Yes","pre & post",4.25,4.25,3.6,4.2,3.33333333333333,3.66666666666667,3,3.75,NA,4,3,4,4,NA,NA,NA
"47",470,"Non-
HURM","Yes","No","pre & post",3.25,3.5,3.2,3,3.33333333333333,3.66666666666667,2.75,4,NA,3,2,2,3,NA,NA,NA
"48",481,"Non-
HURM","Yes","No","pre & post",3.5,4.25,3.6,3.2,4,4,2.5,3,NA,3,3,1,2,NA,NA,NA
"49",484,"HURM","Yes","No","pre & post",3.5,3.5,3.8,4,4,4,1.5,2.25,NA,3,2,2,2,NA,NA,NA
"50",493,"Non-
HURM","Yes","No","pre & post",3,3,3.2,3,4,4,2.5,1.75,NA,1,2,2,3,NA,NA,NA
"51",498,"HURM","Yes","Yes","pre & post",4,2.75,2.4,2.6,3.33333333333333,2.66666666666667,1,1,NA,1,2,1,3,NA,NA,NA
"52",510,"HURM","Yes","No","pre & post",3.75,4,4.6,4.4,4.66666666666667,4,3.75,3.5,NA,1,2,3,3,NA,NA,NA
"53",512,"HURM","Yes","Yes","pre & post",3.75,3.5,3,3.2,4.33333333333333,4.66666666666667,2,1.25,NA,5,3,3,3,NA,NA,NA
"54",521,"Non-
HURM","Yes","Yes","pre & post",3.25,3.75,2.6,3.6,2.33333333333333,3.66666666666667,2.5,3,NA,2,4,1,3,NA,NA,NA
"55",581,"Non-
HURM","No","No","pre & post",3.75,4.25,3.6,4,4,4.33333333333333,1.75,1,NA,4,4,3,3,NA,NA,NA
"56",638,"Non-
HURM","Yes","No","pre & post",3,4,3,4,4.66666666666667,4,2.25,4,NA,4,2,4,3,NA,NA,NA
"57",640,"Non-
HURM","Yes","Yes","pre & post",2.5,2,2.8,2.8,3.33333333333333,3.33333333333333,1.5,2.25,NA,2,3,4,4,NA,NA,NA
